Team Number,Advisor,Problem,Ranking,Institution ID
Changsha,Dan Wang,C,Honorable Mention,496
Wuhan,Hong Fang,D,Honorable Mention,611
Hangzhou,JIANXIN ZHU,A,Successful Participant,986
Guangzhou,Shenquan Liu,B,Successful Participant,1172
Qingdao,Zhang Jingming,A,Honorable Mention,32
Foshan,Haiwu Rong,B,Successful Participant,668
Boulder,Anne M Dougherty,A,Meritorious,229
TianJin,Dianfa Chen,A,Honorable Mention,1580
Harbin,Shuo Shi,A,Honorable Mention,1021
Beijing,Xue Li,C,Meritorious,660
Beijing,Hong Liu,D,Meritorious,619
Qingdao,Sun Qingying,D,Meritorious,32
Guangzhou,Yanhui Guan,A,Meritorious,1506
Wuhan,Ying Wang,A,Honorable Mention,457
Hefei China,Ran Wang,A,Successful Participant,1153
Beijing,Fred Engst,D,Successful Participant,398
Guangzhou,Shaohui Zhang,D,Successful Participant,103
Harbin,Tong Zheng,D,Successful Participant,1021
Beijing,Hong Liu,A,Successful Participant,619
Bengbu,Yang Penghui,D,Honorable Mention,590
Lanzhou,JianWen Sun,D,Honorable Mention,643
Changchun,Nan Li,A,Successful Participant,658
HANGZHOU,Yuchen Cao,B,Successful Participant,324
Wuhan,Guoguang Yan,A,Successful Participant,457
Dalian,Qiuhui Pan,A,Meritorious,1291
Baoding,Bo Xiong,D,Meritorious,1307
FuYang,Xu Chuan You,A,Successful Participant,727
Zhengzhou,Benchao Yang,B,Honorable Mention,870
Guangzhou,Jiao Lianzu,A,Successful Participant,103
Zhenjiang,Yimin Li,D,Successful Participant,281
Tianjin,Yu Mei,A,Successful Participant,169
Xi'an,Zeng Jing,A,Successful Participant,1270
Guangzhou,ChengKe Zhang,A,Successful Participant,1296
Nan Tong,Jing Chen,B,Successful Participant,1055
Changsha,Xinge Liu,A,Meritorious,1378
Beijing,Xuelin Yong,B,Successful Participant,1563
NanTong,Daorong Lin,A,Successful Participant,239
Chengdu,Dai Dai,A,Honorable Mention,138
Indiana,John C Chrispell,A,Honorable Mention,249
Dalian,Xin Fan,D,Meritorious,640
Xi'an,Lei Chen,C,Outstanding Winner,598
Wuhan,Guoxin Zuo,A,Successful Participant,1538
Nanjing,Enshui Chen,D,Meritorious,851
Beijing,Guifeng Yan,B,Honorable Mention,894
Chengdu,Shiping Du,A,Successful Participant,1138
NanChang,Yi Gui Sheng,D,Honorable Mention,1642
Xi'an,Xiao Huayong,C,Meritorious,790
Beijing,haoxiang Zhang,A,Successful Participant,1389
Beijing,Xiaoming Fan,A,Meritorious,306
Guangzhou,Xiaolong Jiang,C,Honorable Mention,1315
shenyang,Youlin Ye,A,Successful Participant,278
Shijiazhuang,Dongkai Zhang,A,Successful Participant,43
Hangzhou,Linlin Fan,B,Meritorious,290
Chengdu City,Chao Min,A,Honorable Mention,834
Harbin,Jun Meng,D,Meritorious,1260
Shanghai,Chen Liu,A,Successful Participant,1238
Changsha,Dianzhong Zhang,A,Successful Participant,1378
Jinan,Shuxiang Huang,D,Meritorious,366
Fuzhou,Fengde Chen,A,Successful Participant,1295
shenyang,Qicheng Xu,A,Successful Participant,33
Guangzhou,Zhaoxian Yu,A,Honorable Mention,1315
YiChang,Taigui Qin,A,Successful Participant,672
Chongqing,Chunde Yang,A,Meritorious,362
Beijing,Xiaoming Fan,D,Honorable Mention,1136
Qingdao,Sun Yuhua,A,Successful Participant,32
Lexington,Russell Lee Carden,B,Meritorious,247
Changsha,Han Luo,D,Successful Participant,431
Nanchang,Tang Yuchao,B,Meritorious,141
Wuxi,Junfeng Cao,D,Successful Participant,641
Changsha,Dan Wang,B,Successful Participant,183
Beijing,Yundong Gu,A,Successful Participant,964
Zhuhai,Xu Lili,A,Honorable Mention,1203
Dalian,Shuqin Yang,D,Successful Participant,609
Baoding,Po Zhang,D,Honorable Mention,785
Shenyang,Yan Chen,A,Successful Participant,797
JINAN,Baodong Liu,D,Meritorious,1201
Nanjing,Jun Zhang,B,Honorable Mention,1627
Beijing,Jie Luo,A,Successful Participant,1566
Manchester,Zhenmin Zou,B,Successful Participant,1434
Beijing,Li Cui,C,Honorable Mention,1156
Beijing,fei tao,A,Successful Participant,1322
ShenYang,Xiaoning Yue,A,Successful Participant,593
Qingdao,Zhang Jingming,A,Successful Participant,32
Wuhan,Shihua Chen,A,Successful Participant,36
Youngstown,George T Yates,A,Honorable Mention,380
Shanghai,yan ling ju,D,Honorable Mention,721
Chengdu,Bingli Liu,D,Successful Participant,243
Beijing,Hongjun Li,A,Successful Participant,1299
Harbin,Shuo Shi,A,Successful Participant,1021
Tianjin,Jia Liu,A,Successful Participant,1416
Tianjin,Shu Li,A,Honorable Mention,158
Changsha,Qiulian Fang,A,Honorable Mention,1378
Guanghzou,ZHANG Pei-ai,D,Meritorious,586
HARBIN,LEI ZHU,D,Honorable Mention,1041
Binzhou,Xiangkai Dou,B,Successful Participant,1232
Guangzhou,Guiwu Hu,A,Successful Participant,1546
Beijing,Xiaogang Duan,D,Successful Participant,913
Beijing,Ding Wang,B,Successful Participant,1497
Beijing,Zhu Jing,B,Meritorious,754
Shenyang,Pang Hali,B,Successful Participant,1482
Beijing,Jicong Zhang,B,Successful Participant,1566
Beijing,Sida Zhang,A,Honorable Mention,1322
NanTong,Daorong Lin,B,Successful Participant,239
Beijing,Shuqin Liu,D,Successful Participant,619
Beijing,YANG YANG,A,Successful Participant,660
BEIJING,Ruiqin Liu,A,Successful Participant,47
XI`AN,Kexin Huang,B,Successful Participant,837
Shanghai,ChengDong Dong,B,Successful Participant,390
Beijing,Zhenbo Wang,B,Successful Participant,875
Neijiang,Fu-Cheng Yin,A,Meritorious,329
Hangzhou,Jianxin Zhu,A,Honorable Mention,1195
Shanghai,Junxiang Li,A,Successful Participant,504
Changsha,Hongyan Zhang,B,Successful Participant,1378
ShangHai,Debo Fu,A,Successful Participant,767
Qingdao,Zhengduo Shan,A,Meritorious,332
Shenzhen,Xinhua Wang,D,Successful Participant,551
Shanghai,Chunjie Su,A,Successful Participant,1122
Changchun,Huang Qingdao,A,Successful Participant,658
Shanghai,Junfeng Yin,B,Successful Participant,681
Chengdu,Youhua Wei,A,Successful Participant,243
Beijing,Peng Lu,D,Successful Participant,1322
Beijing,Yufeng Wang,B,Honorable Mention,1018
Chongqing,Sidong Xian,A,Successful Participant,362
Chengdu,Yanfei Jing,B,Honorable Mention,917
Shenyang,He Xuehong,B,Honorable Mention,801
Nanjing,Genhong Ding,A,Successful Participant,520
Beijing,Guoliang Song,D,Successful Participant,398
Weihai,Xingqin Qi Huiming Song,A,Honorable Mention,314
Shanghai,Jialiang Xiang,B,Honorable Mention,681
Qingdao,Jiang Lingling,D,Meritorious,32
Guangzhou,Zhujun Fan,A,Honorable Mention,1315
Changsha,Ziyang Mao,A,Honorable Mention,183
Manchester,XIAOJUN ZENG,D,Successful Participant,122
BeiJing,ZuGuo He,A,Successful Participant,1535
baoding,Qiang Hua,A,Successful Participant,620
Jiaozuo,Junxiang Cheng,C,Successful Participant,1043
Liverpool,Paul E. L. Rakow,B,Meritorious,1217
Highland Heights,Lisa J Holden,A,Successful Participant,583
Xiamen,Baocan Zhang,A,Honorable Mention,1173
Beijing,Xue Li,D,Successful Participant,3
Shanghai,Surong You,A,Successful Participant,125
Nanjing,Yuchang Yuan,B,Honorable Mention,851
Dalian,Yunjie Zhang,A,Honorable Mention,609
Beibei,Hongping Cao,C,Successful Participant,294
Harbin,Xiong Meng,B,Successful Participant,1021
BeiJing,mei yuan,A,Successful Participant,419
Chengdu,Chuan Ding,A,Honorable Mention,1142
Shijiazhuang,Bo Hou,B,Successful Participant,1658
Baoding,HuiFeng SHI,C,Meritorious,1307
Chengdu,Mingqi Li,A,Meritorious,917
Beijing,Huibing YANG,A,Successful Participant,1519
Hefei,Jinju Wang,D,Meritorious,1613
Zhengzhou,Yanling Li,A,Successful Participant,1512
Zhuhai,Xu Lili,A,Successful Participant,1203
Xinxiang,Xiaoxia Mu,A,Successful Participant,556
SHANGHAI,JIANGUO LIU,B,Meritorious,446
Xuzhou,Jiang Yingzi,B,Honorable Mention,1409
BEI JING,XU XIN,D,Successful Participant,1316
Guangzhou,Hongzhan Liu,B,Successful Participant,103
Beijing,Xin Gao,A,Successful Participant,964
Durham,Daniel J Teague,B,Meritorious,1292
Guangzhou,Yi Zhang,D,Honorable Mention,260
Chongqing,Zhengmin Duan,B,Successful Participant,231
Guangzhou,Yuyi Zhang,A,Successful Participant,1380
Heifei,Haijun Pan,A,Meritorious,1462
Wuhan,He Lang,A,Honorable Mention,992
Nanjing,Zhu Qunsheng,D,Meritorious,893
Beijing,Chuanhua Wei,A,Successful Participant,619
Winston Salem,Miaohua Jiang,B,Honorable Mention,684
Tianjin,Shuangbao Li,A,Honorable Mention,280
Changsha,Qiulian Fang,A,Successful Participant,1378
Nanjing,Weihua Huang,B,Honorable Mention,816
Beijing,Yanhua Cao,A,Successful Participant,964
Shenyang,Yun Yang,A,Honorable Mention,1407
Chengdu,Jie Zhou,A,Successful Participant,322
Chengdu,Yunzhi Zou,A,Honorable Mention,322
Qingdao,Song Yunquan,A,Honorable Mention,32
Qingdao,Zhengqing Fu,B,Successful Participant,1244
Helena,Kelly S. Cline,C,Honorable Mention,1220
Hangzhou,Biao Wu,D,Meritorious,290
Shenyang,Gao Tianhan,B,Successful Participant,20
Xi'an,Dan Liu,C,Honorable Mention,579
Beijing,Xiaoming Fan,D,Honorable Mention,29
Hong Kong,Xianpeng HU,A,Honorable Mention,288
Dezhou,Wenli Ren,D,Successful Participant,1148
Beijing,Guoqing Zhu,A,Honorable Mention,894
Zhuhai,jinquan li,A,Honorable Mention,1203
Shanghai,Lian Chen,B,Successful Participant,1403
Qingdao,Tongjiang Yan,A,Successful Participant,1412
Beijing,Xuesong Gu,C,Successful Participant,1547
Hangzhou,Yang Xiaorong,A,Honorable Mention,255
Xi'an,Yaning Tang,A,Successful Participant,790
Tianjin,Changliang Zou,B,Honorable Mention,169
New York,Stephen Keeley,B,Successful Participant,935
Shenyang,Dai Yu,B,Honorable Mention,175
Beijing,Weiyi Liu,D,Successful Participant,660
Jinan,Baodong Liu,C,Successful Participant,366
Beijing,Peng Cao,B,Meritorious,894
Nanjing,Feng Wang,A,Finalist,1074
Tianjin,YANFENG LI,B,Successful Participant,688
Baoding,Zhenbing Zhao,C,Successful Participant,1307
Wuhan,Jun Xie,A,Successful Participant,36
Wuhan,Xiangjun Wang,D,Meritorious,202
Guangzhou,Xiaolong Jiang,A,Honorable Mention,1315
Nanjing,Guosheng Cheng,C,Honorable Mention,66
Qingdao,Gao Xiang,A,Honorable Mention,1439
Beijing,Tao Ren,D,Honorable Mention,3
Chongqing,Xiong Du,A,Honorable Mention,1606
shanghai,xiaomin wang,B,Honorable Mention,515
Qinhuangdao,Zixuan Zhang,A,Honorable Mention,213
Shanghai,Yuan Cao,A,Successful Participant,284
CHENGDU,Rongrong Song,B,Honorable Mention,1333
Jiaozuo City,Shunwei Xu,D,Honorable Mention,1038
Beijing,Jinshi Cui,A,Honorable Mention,1414
Beijing,Li Liu,C,Successful Participant,1519
Taian,Guangli Xu,D,Successful Participant,1088
WUHAN,XINQI HU,D,Meritorious,717
Hangzhou,Fulai Wang,A,Successful Participant,4
Guangzhou,Tan Yang,D,Successful Participant,1206
GuangZhou,Mathematical Modeling Team,D,Successful Participant,732
Chengdu Sichuan,Zihao Wang,A,Successful Participant,899
Weihai,Rongning Qu,B,Meritorious,757
TianJin,Bo Zhang,A,Successful Participant,784
Dalian,Yunjie Zhang,A,Successful Participant,609
shanghai,Xinwan LI,A,Meritorious,515
Shanghai,Guofu Yu,A,Honorable Mention,1481
Neijiang,Yong-Guo Shi,B,Meritorious,329
Beijing,Ruilin Liu,D,Honorable Mention,639
Colorado Springs,Andrea Bruder,B,Outstanding Winner,650
Dalian,Qingquan Wang,C,Successful Participant,636
Beijing,Gang Liu,A,Honorable Mention,1190
Beijing,lingling Wang,B,Successful Participant,1322
Changchun,Zhu Fukang,A,Honorable Mention,658
Wuxi,Yiwei Liao,A,Successful Participant,406
SHANGHAI,Zhao Zhang,B,Successful Participant,1100
Changchun,Zou Yongkui,C,Successful Participant,658
Beibei,Chun Li,D,Honorable Mention,294
Chengdu,Yongdao Zhou,D,Honorable Mention,897
Wuhan,YuanMing Hu,B,Successful Participant,605
Changsha,Dan Wang,A,Meritorious,496
Zhuhai,Yuntao Jia,A,Honorable Mention,191
Beijing,Gao Dongxu,B,Successful Participant,1414
Jiaozuo City,Junfeng Ren,D,Meritorious,1038
Arcata,Brad Finney,D,Outstanding Winner,701
Suzhou,Jingming Guo,B,Successful Participant,1211
Dalian,Yongchao Liu,B,Successful Participant,609
Harbin,Tong Zheng,A,Honorable Mention,1021
Beijing,Lan Ding,D,Honorable Mention,398
Chongqing,Shiyun Shen,B,Meritorious,362
Dalian,yeliang xiao,A,Successful Participant,1477
Shanghai,Zhixiong Wu,C,Successful Participant,441
Shenyang,Yun Yang,A,Successful Participant,1407
Beijing,Wenbo ZHANG,D,Honorable Mention,1519
Ganzhou,Qingyun Wang,A,Successful Participant,1511
DaLian,Guocan Wang,B,Successful Participant,638
Beijing,Dan Tang,D,Honorable Mention,639
Baoding,Guoli Zhang,B,Honorable Mention,1307
Hefei,Ge Yuan,D,Meritorious,1613
Shanghai,Jin Liang,A,Honorable Mention,681
Guangzhou,Hui Huang,A,Successful Participant,300
Leshan,Shichao Luo,A,Honorable Mention,1382
Beijing,LIZHUO ZHANG,B,Honorable Mention,1164
Zibo,Xin Cui,A,Successful Participant,1447
Beijing,Zhihong Lu,D,Successful Participant,109
WuHan,Yuli Yang,A,Meritorious,607
Baltimore,Jiyuan Tao,A,Successful Participant,137
Beijing,Jingkun Jiang,C,Successful Participant,951
Wuhan,Wang Shengbing,A,Meritorious,1212
Harbin,Desheng Ji,B,Successful Participant,1549
Hong Kong,Xianpeng HU,A,Successful Participant,288
Beijing,Hao Wu,B,Successful Participant,951
Beijing,Guangdong Huang,C,Successful Participant,1302
Beijing,Mei Zhang,A,Honorable Mention,1156
Chengdu,Yongdao Zhou,A,Honorable Mention,1496
Shanghai,Chunjing Li,B,Successful Participant,28
Hangzhou,Qiu Yuyang,A,Successful Participant,255
Beijing,Shikun Xu,A,Honorable Mention,398
Beijing,Yanwen Yan,B,Successful Participant,1018
Yantai,Xijing Sun,B,Meritorious,1559
Chongqing,Jiangmin Song,B,Successful Participant,802
Beijing,YIHUI FENG,A,Honorable Mention,1192
Shenzhen,Xiaohong Kang,A,Successful Participant,551
Claremont,Susan E Martonosi,C,Meritorious,211
Jiaozuo,Shunwei Xu,A,Successful Participant,1043
Jiaozuo City,Junxiang Cheng,A,Honorable Mention,1038
Tianjin,Ya Xu,C,Honorable Mention,169
Guangzhou,Bin Chen,C,Successful Participant,1315
Tianjin,Jindong Huang,C,Successful Participant,91
Chengdu,Han Yang,D,Successful Participant,486
Guangzhou,Zhibing Li,D,Honorable Mention,1530
Chengdu,Chengyu Wen,D,Meritorious,436
Beijing,Xiaoyong Cao,D,Meritorious,398
CHENGDU,QINGBANG ZHANG,B,Honorable Mention,262
Wuhan,Yang Wu,B,Successful Participant,36
Shanghai,Zi Xu,B,Successful Participant,474
Harbin,Zhanguo Zhang,B,Meritorious,1260
Harrisonburg,Eva M Strawbridge,A,Successful Participant,1476
Beijing,Hai Jin,A,Honorable Mention,274
Changchun,liu Jinying,A,Successful Participant,658
Chengdu,Yulan Wang,A,Successful Participant,243
Beijing,Jianxin Yin,D,Honorable Mention,571
Chengdu,Yunlong Sun,B,Honorable Mention,138
Wuhan,Zhibin Han,C,Meritorious,202
Nanjing,Zhonghua Qiu,B,Honorable Mention,934
Lexington,Mitchel T Keller,A,Successful Participant,1437
Beijing,Xiao Wen,A,Finalist,1322
Shanghai,Yuehui Zhang,A,Successful Participant,1560
Beijing,Xingchun Liu,A,Honorable Mention,1566
Lanzhou,Wang xun yang,A,Honorable Mention,1286
ShangHai,Zhengfeng Yang,A,Successful Participant,55
Baoding,Po Zhang,D,Successful Participant,785
Wuhan,Xiaowei Yi,D,Successful Participant,1107
Xiâ€™an,Ming Gou,A,Meritorious,502
Shanghai,Zhengyi Jiang,B,Successful Participant,1550
Hefei,Hang Li,B,Successful Participant,776
Tianjin,Zhongjie Han,A,Honorable Mention,1416
Jinan,Shuxiang Huang,A,Honorable Mention,548
Tianjin,Jing Guan,B,Successful Participant,297
Wuhan,Jie Li,A,Successful Participant,707
Tianjin,Xianfeng Wang,A,Meritorious,169
beijing,Lizhuo ZHANG,A,Honorable Mention,1588
Weihai,Xiaofang Li,C,Successful Participant,757
Harbin,Zhilin Qu,D,Successful Participant,286
Nanjing,Nanqing Ding,B,Successful Participant,939
Guangzhou,Yanhui Guan,C,Successful Participant,1315
Chengdu,Chunhong Li,D,Successful Participant,1348
Shenyang,Xiangde Zhang,A,Successful Participant,994
Guangzhou,Peixing Li,A,Meritorious,1315
Shanghai,Yuquan Ye,A,Honorable Mention,390
Chengdu,Jie Ma,A,Honorable Mention,513
Changsha,Hongyan Zhang,B,Honorable Mention,1378
Beijing,ShaoTing Tang,A,Successful Participant,1322
Beijing,Bing Tuan Wang,A,Meritorious,613
Wuhan,Xiaobo Yin,A,Successful Participant,1370
Xuzhou,Guo Jian,A,Successful Participant,1672
Shanghai,Ting Yi,A,Successful Participant,1561
Yantai,Wei Liu,D,Successful Participant,265
Xi'an,yuying wang,D,Successful Participant,598
Zhenjiang,Yimin Li,A,Successful Participant,281
Wuhan,Yuanming Hu,D,Honorable Mention,36
Beijing,Zhao Xin chao,A,Meritorious,1519
Shenyang,Liu Liying,B,Successful Participant,980
Nanjing,Genhong Ding,A,Honorable Mention,520
Guangzhou,Shaohui Zhang,A,Successful Participant,1202
Tianjin,Na Zhao,A,Successful Participant,169
Zhengzhou,Yanling Cai,B,Honorable Mention,9
Chaoyang District,Kaisu WU,A,Successful Participant,340
Guangzhou,Qiru Wang,B,Honorable Mention,1315
Wenzhou,Ancha Xu,A,Honorable Mention,1558
Beijing,Tianping Shuai,A,Meritorious,83
Chengdu,Yang Weng,A,Successful Participant,322
Guilin,Min Tang,B,Honorable Mention,1039
Yantai,Fanqiu Kong,B,Successful Participant,186
Dalian,Qiuhui Pan,A,Honorable Mention,640
Wuhan,Qiang Zhu,B,Successful Participant,611
Wuhan,X.Q. Hu,A,Honorable Mention,36
Wuhan,Pingan He,D,Successful Participant,36
Chengdu,Shaowen Li,A,Successful Participant,138
Beijing,Mingxi Wang,D,Honorable Mention,639
Guangzhou,Zhang sheng xiang,B,Successful Participant,1318
Beibei,Yanying Shang,C,Honorable Mention,294
Hamilton,Dan Schult,A,Meritorious,1235
NanTong,Junyao Pan,B,Successful Participant,239
Ganzhou,Shipeng Zhong,A,Successful Participant,1417
Yichang,Xiaohua Zhang,A,Honorable Mention,685
Weihai,Xingqin Qi Huiming Song,A,Successful Participant,314
Yangling,Yanghui Wu,A,Successful Participant,444
Beibei,Jianjun Liu,A,Successful Participant,294
Luoyang,Yeqing Liu,A,Successful Participant,537
Chongqing,Zhiqing Dong,D,Successful Participant,1592
Chongqing,Bin Huang,B,Successful Participant,802
Tianjin,Xianfeng Wang,A,Meritorious,158
Suzhou,Huanfei Ma,A,Successful Participant,2
Shenyang,Zhenxin Lei,B,Successful Participant,438
Shanghai,Li Jiang,B,Successful Participant,1321
Guangzhou,Yi Du,D,Successful Participant,1206
Guangzhou,XiaoHui Hu,D,Successful Participant,103
Beijing,Xin Gao,A,Honorable Mention,964
Shenyang,Du Tao,B,Honorable Mention,1347
Haidian,Zhuosheng Lv,D,Successful Participant,574
Butte,Richard J Rossi,A,Successful Participant,1010
Hefei,Wu Yaohua,A,Honorable Mention,776
Chengdu,Yunlong Sun,B,Successful Participant,138
Beijing,Hao Wu,D,Honorable Mention,951
Chongqing,Zhengmin Duan,B,Honorable Mention,231
Xi'an,Wenyan Guo,A,Meritorious,911
Jiaozuo,Junxiang Cheng,D,Honorable Mention,1132
Guangzhou,Zhanyong Zou,A,Successful Participant,193
Roanoke,Ruth A Sherman,A,Successful Participant,1261
Shanghai,Wei Wang,A,Successful Participant,681
Hefei,Huayou Chen,D,Meritorious,896
Wuhan,Wang Yubao,D,Honorable Mention,1660
Xiamen,Zhong Tan,A,Successful Participant,1250
Chongqing,Guanghui He,D,Honorable Mention,231
Ningbo City,Jufeng Wang,A,Successful Participant,677
Nanjing City,Fangrong Yan,D,Successful Participant,746
Shanghai,Fanfan Wang,B,Successful Participant,912
beijing,Wang Yu Bin,A,Successful Participant,1028
Changchun,Quan Wen,D,Successful Participant,576
Dalian,Ge Rendong,B,Successful Participant,263
Hangzhou,Zheyong Qiu,D,Meritorious,335
Shenyang,Li Dayu,B,Honorable Mention,775
Shenyang,Jingyi Liu,A,Successful Participant,1000
Hangzhou,Ai Qin Wang,B,Honorable Mention,689
Haidian,Zhiming Hu,A,Successful Participant,500
Xi'an,Xiuyun Zheng,B,Successful Participant,317
Yichun,Shaoliang Yuan,A,Successful Participant,1528
Suzhou,Yu Tang,B,Honorable Mention,1351
Qingdao,Chuanxiang Ren,B,Honorable Mention,1244
Beijing,Yehui Huang,B,Honorable Mention,964
Nanjing,Chen Xin,D,Honorable Mention,893
Tianjin,Na Zhao,A,Successful Participant,158
Nanjing,Min Kong,D,Honorable Mention,939
Qingdao,Yan Wang,B,Meritorious,32
Beijing,Yasheng Zou,A,Successful Participant,398
Hangzhou,Zheyong Qiu,A,Successful Participant,335
Beijing,Guifeng Yan,A,Honorable Mention,894
Wuxi,Guoqiang Wei,C,Meritorious,641
Rongcheng,Guanghan Guo,A,Meritorious,134
SHANGHAI,JUNFENG YIN,A,Successful Participant,663
Beijing,Wenyi Chai,A,Honorable Mention,1502
Guangzhou,Xiuxiang Liu,B,Honorable Mention,1206
Beijing,Shangzhi Li,A,Successful Participant,1322
Harbin,Dongmei Li,D,Meritorious,855
Beijing,Yong Li,B,Successful Participant,1519
Winston Salem,Miaohua Jiang,B,Successful Participant,684
Tianjin,Guoliang Shi,A,Honorable Mention,1537
Shanghai,Yuquan Ye,A,Successful Participant,390
Changchun,liu Mingji,C,Successful Participant,658
Beijing,Shao Linlin,A,Honorable Mention,1414
Shanghai,ShuJin Wu,A,Honorable Mention,456
Shanghai,KE WANG,A,Honorable Mention,1213
Beibei,Yangrong Li,A,Successful Participant,294
Shanghai,Linfeng Dong,C,Successful Participant,241
Dalian,Shuqin Yang,B,Honorable Mention,609
Xinjiang,Zhiquan Han,A,Successful Participant,873
Beijing,Shuqin Liu,A,Successful Participant,619
Quan Zhou,Jianxin Huang,A,Honorable Mention,180
Shenyang,Jingke Xu,A,Successful Participant,207
Potsdam,Kathleen R Fowler,A,Successful Participant,170
Wuhan,Yuanming Hu,D,Successful Participant,36
Hangzhou,Rongqi Li,A,Honorable Mention,290
Wuhan,Jianghui Wen,C,Meritorious,992
Xi'an,Ma Yuena,A,Honorable Mention,1621
Kunming,Jundong Yang,A,Successful Participant,827
Chengdu,Dai Dai,A,Meritorious,138
Guangzhou,Yongkuan Cheng,A,Successful Participant,580
Chengdu,Wangyong Lv,A,Successful Participant,1219
Shanghai,FengFei GONG,A,Honorable Mention,1111
Zhuhai,jinquan li,A,Successful Participant,1203
Arden Hills,Nathan Gossett,A,Honorable Mention,1596
Beijing,Hai Bin Zhang,D,Successful Participant,463
Dalian,Qiuhui Pan,A,Successful Participant,640
Guangzhou,Shenquan Liu,A,Honorable Mention,1172
McMinnville,Jennifer Nordstrom,B,Successful Participant,795
Wuhan,Liping Zhang Qiuhua Tang,B,Honorable Mention,1189
Kaifeng,Zhihao Ge,A,Successful Participant,543
Baoding,Longge Zhang,A,Successful Participant,1307
Hangzhou,Tao Feng,A,Successful Participant,986
Tianjin,Liangfu Lv,B,Honorable Mention,206
Beijing,Beibei Yin,A,Meritorious,1472
Beijing,Xiaoyan Zhang,D,Successful Participant,398
Dalian,Liu Xiangdong,D,Honorable Mention,263
Wuhan,Zhengyang Mei,D,Meritorious,202
Chengdu,Hao Wang,A,Honorable Mention,322
Beijing,Xuelin Yong,A,Successful Participant,964
Bengbu,Liu Xianbei,A,Successful Participant,590
Jinan,Baodong Liu,C,Honorable Mention,1349
Fushun,Wei Fu,A,Successful Participant,449
Guangzhou,Hui Huang,A,Successful Participant,1001
Waverly,Mariah Birgen,A,Unsuccessful,524
Guangzhou,Zhihui Zhan,D,Meritorious,1315
ZaoZhuang,ChangQing Lv,B,Successful Participant,822
Beijing,Guoxiao Yang,B,Successful Participant,894
Tianjin,Hongmei Zhao,A,Meritorious,1653
Beijing,Jiangfang Yi,A,Honorable Mention,1191
Beijing,Yingzhe Wang,D,Successful Participant,796
Xi'an,Zhai Shi Mei,A,Successful Participant,1270
Guangzhou,weifeng zhang,C,Successful Participant,1025
Xuzhou,Duan Ziming,A,Successful Participant,1226
Macau,Zhi LIU,A,Successful Participant,919
Hefei,Zhouwang Yang,A,Successful Participant,776
ShangHai,BoSheng Xu,B,Successful Participant,1310
Shanghai,Wei Deng,A,Honorable Mention,441
Changchun,Shi Shaoyun,A,Successful Participant,658
Jiaozuo,Tao Ban,A,Successful Participant,1043
Tianjin,Gang Wang,B,Successful Participant,169
Xi'an,Fengqun Zhao,A,Successful Participant,911
Schenectady,Jue Wang,A,Meritorious,1373
Beijing,Yonghong Long,A,Successful Participant,1190
BEI JING,XU XIN,A,Successful Participant,1316
Shenyang,Wang Mingquan,A,Successful Participant,991
Guangzhou,ChengKe Zhang,B,Honorable Mention,1296
Beibei,Chun Li,D,Successful Participant,294
Beijing,Longfei Chen,B,Meritorious,1322
Harbin,Weibo Wang,B,Successful Participant,1021
Hangzhou,Weifeng Jin,A,Meritorious,404
Beijing,Shuhuan Liu,D,Honorable Mention,1553
Beijing,Haiyan Sun,A,Honorable Mention,1566
Chongqing,Guanghui He,A,Successful Participant,231
Beijing,Wenbao Ai,D,Honorable Mention,1519
Shanghai,å¼  æ™“æ¢…,B,Successful Participant,390
Kunming,Weidong Li,B,Successful Participant,999
Baoding,JingGang LIU,D,Honorable Mention,1307
Beijing,Guohui Li,B,Successful Participant,1406
Guangzhou,jiang xue ping,A,Successful Participant,1318
Taian,Ma Fang Fang,A,Successful Participant,350
Harbin,Tong Zheng,A,Successful Participant,1021
Weihai,Luo Chang,C,Successful Participant,314
Weihai,Bing Yang,D,Honorable Mention,314
Davidson,Laurie J Heyer,B,Successful Participant,1015
San Diego,Cameron Parker,B,Successful Participant,164
Beijing,Zhao Yufeng,A,Successful Participant,1115
Nanjing,Feng Wang,A,Successful Participant,1074
shenyang,Zhengyu Li,A,Successful Participant,278
Shanghai,Qiang Guo,C,Successful Participant,751
HangZhou,YULING LI,D,Successful Participant,181
Shenyang,Ming Lei,A,Successful Participant,1334
Hangzhou,Rongqi Li,D,Meritorious,290
Hangzhou,Qiu Yuyang,A,Honorable Mention,255
Wuhan,Zhu Huaping,A,Honorable Mention,992
Guangzhou,Qinghui Zhang,D,Honorable Mention,1315
Tarttila,Jarkko Olavi Kettunen,A,Honorable Mention,1067
Nanjing,Qingsheng Shi,A,Successful Participant,269
Beijing,Youguang Zhang,A,Successful Participant,1566
Nanjing,Zhonghua Qiu,D,Honorable Mention,934
Hangzhou,Ji Luo,D,Successful Participant,4
Beijing,Jiang Chen,C,Honorable Mention,3
Xi'an,Yang Song,B,Successful Participant,1662
WUHAN,GENG LIN,A,Successful Participant,1420
Wuxi,Xuqing Tang,D,Finalist,641
DaLian,Dayong Zhou,A,Successful Participant,638
Xi'an,Yuan Xiujiu,B,Successful Participant,1621
Zibo,Meng Tian,A,Meritorious,1447
Beijing,Guangdong Huang,D,Meritorious,1600
Beijing,Guangyu Ren,D,Meritorious,660
Beijing,Weiyi Liu,A,Successful Participant,660
